word	hyphenated	locale	source	license
Praha	Praha	cs	seed:proper_name	manual-curation
Brno	Brno	cs	seed:proper_name	manual-curation
Česko	Česko	cs	seed:proper_name	manual-curation
Vespasianus	Vespasianus	cs	wikidata:proper_name	CC0
Titus	Titus	cs	wikidata:proper_name	CC0
Domitianus	Domitianus	cs	wikidata:proper_name	CC0
Nerva	Nerva	cs	wikidata:proper_name	CC0
Traianus	Traianus	cs	wikidata:proper_name	CC0
Hadrianus	Hadrianus	cs	wikidata:proper_name	CC0
Commodus	Commodus	cs	wikidata:proper_name	CC0
Pertinax	Pertinax	cs	wikidata:proper_name	CC0
Augustus	Augustus	cs	wikidata:proper_name	CC0
Caracalla	Caracalla	cs	wikidata:proper_name	CC0
Tiberius	Tiberius	cs	wikidata:proper_name	CC0
Tacitus	Tacitus	cs	wikidata:proper_name	CC0
Claudius	Claudius	cs	wikidata:proper_name	CC0
Caligula	Caligula	cs	wikidata:proper_name	CC0
Coluche	Coluche	cs	wikidata:proper_name	CC0
Nero	Nero	cs	wikidata:proper_name	CC0
Galba	Galba	cs	wikidata:proper_name	CC0
Otho	Otho	cs	wikidata:proper_name	CC0
Vitellius	Vitellius	cs	wikidata:proper_name	CC0
Theopompos	Theopompos	cs	wikidata:proper_name	CC0
Rigord	Rigord	cs	wikidata:proper_name	CC0
Totò	Totò	cs	wikidata:proper_name	CC0
Béroul	Béroul	cs	wikidata:proper_name	CC0
Pinturicchio	Pinturicchio	cs	wikidata:proper_name	CC0
Konfucius	Konfucius	cs	wikidata:proper_name	CC0
Rembrandt	Rembrandt	cs	wikidata:proper_name	CC0
Stendhal	Stendhal	cs	wikidata:proper_name	CC0
Eminem	Eminem	cs	wikidata:proper_name	CC0
Heloisa	Heloisa	cs	wikidata:proper_name	CC0
Bourvil	Bourvil	cs	wikidata:proper_name	CC0
Madonna	Madonna	cs	wikidata:proper_name	CC0
Macrinus	Macrinus	cs	wikidata:proper_name	CC0
Geronimo	Geronimo	cs	wikidata:proper_name	CC0
Heliogabalus	Heliogabalus	cs	wikidata:proper_name	CC0
Pupienus	Pupienus	cs	wikidata:proper_name	CC0
Balbinus	Balbinus	cs	wikidata:proper_name	CC0
Barbara	Barbara	cs	wikidata:proper_name	CC0
Decius	Decius	cs	wikidata:proper_name	CC0
Masaccio	Masaccio	cs	wikidata:proper_name	CC0
Molière	Molière	cs	wikidata:proper_name	CC0
Perugino	Perugino	cs	wikidata:proper_name	CC0
Čingischán	Čingischán	cs	wikidata:proper_name	CC0
Hippokratés	Hippokratés	cs	wikidata:proper_name	CC0
Platón	Platón	cs	wikidata:proper_name	CC0
Aristotelés	Aristotelés	cs	wikidata:proper_name	CC0
Sókratés	Sókratés	cs	wikidata:proper_name	CC0
Chuej	Chuej	cs	wikidata:proper_name	CC0
Livius	Livius	cs	wikidata:proper_name	CC0
Jüan	Jüan	cs	wikidata:proper_name	CC0
Sofoklés	Sofoklés	cs	wikidata:proper_name	CC0
Seneca	Seneca	cs	wikidata:proper_name	CC0
Kublaj	Kublaj	cs	wikidata:proper_name	CC0
Kálidása	Kálidása	cs	wikidata:proper_name	CC0
Prince	Prince	cs	wikidata:proper_name	CC0
Ming	Ming	cs	wikidata:proper_name	CC0
Čang	Čang	cs	wikidata:proper_name	CC0
Voltaire	Voltaire	cs	wikidata:proper_name	CC0
Ling	Ling	cs	wikidata:proper_name	CC0
Sallustius	Sallustius	cs	wikidata:proper_name	CC0
Sien	Sien	cs	wikidata:proper_name	CC0
Mohamed	Mohamed	cs	wikidata:proper_name	CC0
Bramantino	Bramantino	cs	wikidata:proper_name	CC0
Tintoretto	Tintoretto	cs	wikidata:proper_name	CC0
Rurik	Rurik	cs	wikidata:proper_name	CC0
